name,Cases,Deaths,Sick,Spread,DaytimePopDensity,Traffic,SVIHousing,Vaccines,DistancingGrade,Testing,PctBeds,PctVentilators,PctBlack,PctNative,AirPollution,PctGE65,PrematureDeath,Smoking,Diabetes,Obesity,PctNoIns,SVISocioeconomic
"Missouri, Shelby",895,9,7.43801652892562,0.0502793296089385,11.3,26.605112855,0.3712,0.575,3.0,894,0.6288,0.1612,0.0085950413,0.0051239669,9.7,20.4,10710.71844,0.1936112007,0.076,0.287,11.1,0.4239
"Missouri, Stoddard",4193,64,8.97075943299322,0.0624850942046268,33.7,49.854939881,0.2445,0.653,4.3,1450,0.46,0.0,0.0122919948,0.005135931,11.3,19.5,9398.4242632,0.2107352141,0.157,0.356,11.2,0.7398
"Missouri, Stone",3867,81,3.21269961258622,0.0263770364623739,56.8,27.891343734,0.4438,0.657,5.0,1505,0.6038,0.0887,0.0035906643,0.0085042049,9.8,29.7,10913.53889,0.1851353286,0.128,0.311,9.2,0.5169
"Missouri, Sullivan",1154,14,4.98312168461662,0.0268630849220104,9.8,10.768729282,0.4944,0.615,3.0,1429,0.71,0.025,0.0326314097,0.0102877351,9.3,20.2,8449.6249219,0.1984301812,0.212,0.308,12.1,0.6115
"Missouri, Taney",8854,144,2.57824249803051,0.0162638355545516,91.7,73.701655002,0.9526,0.642,5.0,1978,0.93,0.12,0.0142340471,0.01031297,9.8,20.8,9151.5566765,0.2077652829,0.101,0.288,15.8,0.6513
"Missouri, Texas",2915,40,2.34640804035822,0.0205831903945112,20.3,23.987707864,0.6797,0.711,4.0,1012,0.25,0.0,0.0367603926,0.0089945642,9.6,20.1,9142.1895572,0.229218501,0.142,0.31,16.1,0.9185
"Missouri, Vernon",2878,64,3.06897895557288,0.0218902015288395,24.8,62.555857921,0.617,0.692,4.3,1838,1.0,0.0,0.0095479345,0.0081352299,9.4,18.4,10820.010621,0.2059681482,0.063,0.281,14.5,0.4207
"Missouri, Warren",4836,41,6.22281121258391,0.0446650124069479,65.2,77.957933308,0.3181,0.63,5.0,2138,0.6475,0.18,0.0222407882,0.006021146,10.5,17.3,8637.9361682,0.1952760063,0.073,0.361,7.2,0.458
"Missouri, Washington",3833,63,4.73078619251894,0.0307852856770154,28.7,30.583056282,0.7695,0.727,4.3,3174,0.76,0.0,0.0244156677,0.0048510604,9.9,15.9,11721.252871,0.2226173624,0.12,0.314,12.4,0.9414
"Missouri, Wayne",1500,18,6.78250266727633,0.0593333333333333,17.2,19.681061389,0.6323,0.68,3.7,1499,0.6562,0.1238,0.0076207895,0.0053345527,10.1,22.8,11486.733117,0.2356356537,0.13,0.339,14.0,0.9653
"Missouri, Webster",5571,86,2.96606919123475,0.0208221145216299,53.9,58.208648641,0.8335,0.618,5.0,1500,0.575,0.1375,0.0102278248,0.0079777033,9.6,15.2,7344.7245001,0.2236314703,0.137,0.275,13.8,0.6322
"Missouri, Worth",216,2,0.980392156862745,0.0092592592592592,7.0,1.083698072,0.1862,0.641,2.3,2683,0.4638,0.0,0.0093137255,0.0034313725,9.0,24.1,15533.121345,0.1901334686,0.224,0.254,6.0,0.4936
"Missouri, Wright",2506,46,3.15594732832735,0.0231444533120511,24.9,49.539778004,0.6963,0.677,4.3,2154,0.6762,0.2,0.0053868756,0.007073675,9.5,19.5,11932.506937,0.2482780858,0.16,0.292,19.1,0.9248
"Missouri, St. Louis City",31626,522,2.6350722168288,0.0252324037184595,6440.1,870.8095931,0.7985,0.517,5.0,4130,0.86,0.49,0.4555934196,0.0030874593,11.5,12.6,13079.299418,0.2460123418,0.115,0.344,10.8,0.7121
