fips,PopDensity,Male,RuralCont,EconArea,HouseholdSize,noHealthInsurance,noHighSchool,Poverty,logPopDensity,PercentEduHealthSoc,SES,Household,HousingType,Asthma,Cancer,COPD,Stroke,HF,HTN,KD,WBSeg,WNWSeg
8003,22.46346729,49.93531695,0,45.0,2.45,16.0,16.9,21.3,3.111890313,28.4,0.8669,0.2958,0.9943,3.3301,4.3585,10.8717,2.1058,8.9618,34.5739,15.6219,29.19585827,10.41881436
8005,822.6913921,49.62868761,2,45.0,2.53,10.3,7.7,7.8,6.712581151,20.2,0.1022,0.1433,0.3613,5.3192,8.7131,9.9145,3.1063,10.8182,46.6126,21.6748,46.39251028,35.59627447
8007,10.39046646,50.37422482,0,56.0,2.27,14.3,9.5,11.7,2.340888699,20.0,0.2608,0.1251,0.3413,3.0758,4.6503,5.1996,1.7576,6.4445,32.1128,11.4244,1.0,8.909701617
8009,1.401582015,50.18151354,0,132.0,2.2,16.0,14.5,19.7,0.33760160899999997,27.3,0.5634,0.7291,0.3941,3.0786,6.6879,13.8004,2.4416,18.1529,49.0446,21.2314,1.0,14.89653074
8011,3.686395304,64.35359512,0,132.0,2.34,12.4,15.1,32.0,1.304649098,23.0,0.8701,0.6457,0.8077,5.3333,6.3333,22.3333,1.6667,17.2222,52.5556,23.4444,1.0,1.0
8013,449.12638200000004,50.36757042,1,45.0,2.39,7.7,5.4,12.6,6.107304322999999,23.8,0.1334,0.0111,0.5673,3.9045,7.805,6.7498,2.6772,8.6493,35.1403,14.1171,49.12347518,25.03440668
8014,2133.363609,49.73391045,2,45.0,2.6,5.6,4.2,4.6,7.665455172000001,21.6,0.008,0.0322,0.1458,4.4005,8.6957,7.9842,2.5296,9.3544,42.4769,19.4203,40.83313596,19.25111257
8015,20.08683639,52.98683435,0,45.0,2.15,11.2,8.4,11.4,3.000064695,19.6,0.115,0.2913,0.4881,3.4692,7.1157,7.9007,2.1524,8.6604,33.6794,13.1426,1.0,40.83093116
8017,1.029646625,50.68268706,0,36.0,2.28,15.8,9.7,13.6,0.029215661,19.0,0.5038,0.1223,0.0624,4.74631594,7.4303,11.4551,3.7152,13.6223,33.1269,16.0991,1.0,1.0
8019,24.54267136,52.93814433,2,45.0,2.14,5.8,2.1,7.8,3.2004132910000003,15.3,0.001,0.0296,0.1404,4.2254,7.584,9.5341,1.4085,7.6923,35.1029,18.0932,1.0,22.78620446
