fips,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White
29103,0.1464,0.2059,0.0878,0.56,Moderate Vulnerability,0.78,High Concern,0.0109,0.0,0.0061,0.0046,0.0005,0.962
29079,0.1482,0.2059,0.09,0.62,High Vulnerability,0.87,Very High Concern,0.0244,0.0056,0.0064,0.0028,0.0005,0.9407
29133,0.1675,0.2408,0.1018,0.91,Very High Vulnerability,0.93,Very High Concern,0.0218,0.0085,0.0007,0.2441,0.0004,0.7147
29057,0.1576,0.218,0.0958,0.66,High Vulnerability,0.7,High Concern,0.0214,0.0094,0.0084,0.0036,0.0003,0.9371
30019,0.2639,0.3131,0.1799,0.02,Very Low Vulnerability,0.25,Low Concern,0.0266,0.0318,0.0081,0.0,0.0,0.9301
30049,0.2268,0.2694,0.1537,0.13,Very Low Vulnerability,0.06,Very Low Concern,0.0333,0.0164,0.0066,0.0027,0.0007,0.9137
29069,0.1675,0.2408,0.1018,0.96,Very High Vulnerability,0.87,Very High Concern,0.0663,0.0017,0.0059,0.1022,0.0,0.8037
29121,0.1464,0.2059,0.0878,0.59,Moderate Vulnerability,0.76,High Concern,0.015,0.0066,0.0062,0.0195,0.0002,0.936
29217,0.1576,0.218,0.0958,0.45,Moderate Vulnerability,0.73,High Concern,0.0216,0.0065,0.0072,0.0054,0.0,0.9392
29143,0.1675,0.2408,0.1018,0.9,Very High Vulnerability,0.92,Very High Concern,0.0188,0.0035,0.0,0.1531,0.0,0.7986
29185,0.1576,0.218,0.0958,0.5,Moderate Vulnerability,0.78,High Concern,0.0128,0.0094,0.0038,0.0073,0.0,0.9449
29087,0.1482,0.2059,0.09,0.2,Very Low Vulnerability,0.6,High Concern,0.0106,0.0099,0.0065,0.0106,0.0005,0.9583
30011,0.2639,0.3131,0.1799,0.05,Very Low Vulnerability,0.39,Low Concern,0.0008,0.0075,0.0,0.0,0.0,0.9684
30041,0.267,0.3233,0.1824,0.7,High Vulnerability,0.32,Low Concern,0.0379,0.2233,0.0037,0.0032,0.0,0.6918
29199,0.1464,0.2059,0.0878,0.53,Moderate Vulnerability,0.7,High Concern,0.0,0.001,0.0,0.0,0.0,0.9927
29151,0.142,0.1935,0.0846,0.05,Very Low Vulnerability,0.6,Moderate Concern,0.0082,0.0012,0.0003,0.0018,0.0,0.985
30063,0.2397,0.2895,0.1622,0.18,Very Low Vulnerability,0.15,Very Low Concern,0.0327,0.019,0.0183,0.006,0.0007,0.8924
29209,0.143,0.1978,0.0863,0.35,Low Vulnerability,0.53,Moderate Concern,0.0231,0.0071,0.0023,0.002,0.0009,0.948
30065,0.2639,0.3131,0.1799,0.36,Low Vulnerability,0.46,Moderate Concern,0.0308,0.026,0.009,0.0,0.0,0.9112
30031,0.2195,0.2623,0.146,0.04,Very Low Vulnerability,0.14,Very Low Concern,0.0373,0.0076,0.0135,0.0039,0.0001,0.9161
29031,0.1434,0.2029,0.0858,0.41,Moderate Vulnerability,0.4,Moderate Concern,0.0233,0.0005,0.0171,0.0736,0.0004,0.8595
29177,0.1441,0.2003,0.0858,0.26,Low Vulnerability,0.7,High Concern,0.0247,0.0049,0.0019,0.0132,0.0,0.9366
29041,0.1512,0.211,0.0903,0.19,Very Low Vulnerability,0.59,Moderate Concern,0.0053,0.0004,0.0,0.0255,0.0,0.9496
29149,0.1646,0.2288,0.1006,0.49,Moderate Vulnerability,0.8,High Concern,0.0183,0.0149,0.0048,0.0015,0.0011,0.9404
30033,0.2639,0.3131,0.1799,0.01,Very Low Vulnerability,0.3,Low Concern,0.001,0.0,0.0,0.0068,0.0,0.9923
29201,0.1434,0.2029,0.0858,0.78,High Vulnerability,0.64,High Concern,0.0231,0.0037,0.0041,0.1163,0.0,0.8324
30003,0.2639,0.3131,0.1799,0.83,Very High Vulnerability,0.72,High Concern,0.0636,0.6426,0.0009,0.0003,0.0004,0.2677
29085,0.1567,0.2204,0.0948,0.47,Moderate Vulnerability,0.67,High Concern,0.0174,0.0162,0.0027,0.0003,0.0,0.9478
29105,0.1567,0.2204,0.0948,0.62,High Vulnerability,0.65,High Concern,0.0245,0.0075,0.0037,0.0058,0.0001,0.9311
29169,0.1544,0.2185,0.094,0.65,High Vulnerability,0.8,Very High Concern,0.1121,0.0088,0.0242,0.1066,0.0058,0.6938
29071,0.1453,0.198,0.0861,0.15,Very Low Vulnerability,0.45,Moderate Concern,0.0174,0.0019,0.005,0.0072,0.0001,0.9502
29095,0.1294,0.1831,0.0751,0.54,Moderate Vulnerability,0.62,High Concern,0.0898,0.003,0.0181,0.2314,0.0031,0.6219
29215,0.1646,0.2288,0.1006,0.83,Very High Vulnerability,0.94,Very High Concern,0.0212,0.0171,0.0074,0.0218,0.0,0.9101
29159,0.1512,0.211,0.0903,0.8,Very High Vulnerability,0.84,Very High Concern,0.0866,0.0009,0.0066,0.035,0.0003,0.8492
29225,0.1425,0.1946,0.0855,0.64,High Vulnerability,0.82,Very High Concern,0.0207,0.0051,0.0038,0.0091,0.0021,0.9406
29047,0.1262,0.1733,0.0729,0.14,Very Low Vulnerability,0.42,Moderate Concern,0.068,0.0035,0.0216,0.0596,0.0021,0.8112
29135,0.142,0.1935,0.0846,0.51,Moderate Vulnerability,0.83,Very High Concern,0.0487,0.0019,0.0006,0.0273,0.0,0.9162
30017,0.2639,0.3131,0.1799,0.29,Low Vulnerability,0.29,Low Concern,0.0342,0.0074,0.0009,0.0063,0.0017,0.918
30047,0.2397,0.2895,0.1622,0.65,High Vulnerability,0.37,Low Concern,0.0458,0.2313,0.0028,0.003,0.0013,0.6504
29183,0.1107,0.149,0.0648,0.04,Very Low Vulnerability,0.32,Low Concern,0.0329,0.0012,0.0254,0.0439,0.0003,0.8714
29223,0.1666,0.2322,0.101,0.76,High Vulnerability,0.93,Very High Concern,0.018,0.0018,0.0027,0.0055,0.0,0.9484
29055,0.138,0.1932,0.0831,0.76,High Vulnerability,0.89,Very High Concern,0.0201,0.0004,0.0021,0.0037,0.0,0.9516
30057,0.2268,0.2694,0.1537,0.17,Very Low Vulnerability,0.23,Low Concern,0.0448,0.002,0.0004,0.0002,0.0,0.9246
29111,0.1464,0.2059,0.0878,0.45,Moderate Vulnerability,0.82,Very High Concern,0.0047,0.0077,0.0,0.0421,0.0024,0.9262
30067,0.2195,0.2623,0.146,0.07,Very Low Vulnerability,0.35,Low Concern,0.0309,0.004,0.0031,0.0045,0.0012,0.9334
29175,0.1512,0.211,0.0903,0.56,Moderate Vulnerability,0.67,High Concern,0.021,0.0072,0.0064,0.0577,0.0002,0.8848
30055,0.2639,0.3131,0.1799,0.08,Very Low Vulnerability,0.21,Low Concern,0.0374,0.0587,0.0162,0.0,0.0,0.8877
30009,0.2195,0.2623,0.146,0.04,Very Low Vulnerability,0.1,Very Low Concern,0.0246,0.0131,0.0028,0.0041,0.0,0.9426
29033,0.1512,0.211,0.0903,0.53,Moderate Vulnerability,0.72,High Concern,0.0159,0.002,0.0049,0.0141,0.0,0.9472
29093,0.1666,0.2322,0.101,0.78,High Vulnerability,0.75,High Concern,0.0178,0.0054,0.0027,0.0111,0.0006,0.9436
29097,0.1574,0.2191,0.0944,0.66,High Vulnerability,0.69,High Concern,0.0804,0.013,0.0113,0.0183,0.0013,0.8417
29119,0.143,0.1978,0.0863,0.86,Very High Vulnerability,0.95,Very High Concern,0.1158,0.0264,0.0151,0.0182,0.0222,0.7727
29157,0.1638,0.2274,0.0985,0.23,Low Vulnerability,0.61,High Concern,0.0229,0.0042,0.0108,0.0056,0.0,0.9515
29063,0.1545,0.2142,0.0922,0.41,Moderate Vulnerability,0.86,Very High Concern,0.0259,0.0079,0.0053,0.0894,0.0028,0.8381
29073,0.138,0.1932,0.0831,0.09,Very Low Vulnerability,0.49,Moderate Concern,0.0143,0.0048,0.0034,0.0041,0.0,0.9591
29117,0.1482,0.2059,0.09,0.37,Low Vulnerability,0.71,High Concern,0.0184,0.0056,0.0062,0.0253,0.0011,0.9236
29147,0.1482,0.2059,0.09,0.22,Low Vulnerability,0.76,High Concern,0.0173,0.0021,0.0137,0.0276,0.0013,0.9259
30035,0.2461,0.291,0.1669,0.86,Very High Vulnerability,0.63,High Concern,0.0328,0.6434,0.0004,0.0028,0.0009,0.2994
29083,0.1576,0.218,0.0958,0.6,Moderate Vulnerability,0.63,High Concern,0.0246,0.004,0.0042,0.0126,0.0001,0.9352
29171,0.1482,0.2059,0.09,0.58,Moderate Vulnerability,0.78,High Concern,0.0048,0.0021,0.0013,0.001,0.0,0.9596
29053,0.1512,0.211,0.0903,0.39,Low Vulnerability,0.75,High Concern,0.0199,0.0041,0.004,0.057,0.0019,0.8778
29137,0.1464,0.2059,0.0878,0.39,Low Vulnerability,0.88,Very High Concern,0.0168,0.0063,0.0048,0.034,0.0005,0.9291
29127,0.1464,0.2059,0.0878,0.55,Moderate Vulnerability,0.6,Moderate Concern,0.0178,0.0043,0.0065,0.0374,0.0011,0.9004
29203,0.1646,0.2288,0.1006,0.64,High Vulnerability,0.86,Very High Concern,0.0187,0.0017,0.0,0.0017,0.0,0.9387
30025,0.2639,0.3131,0.1799,0.02,Very Low Vulnerability,0.29,Low Concern,0.0199,0.001,0.0175,0.0003,0.0,0.9435
29189,0.1067,0.1518,0.0616,0.26,Low Vulnerability,0.33,Low Concern,0.0289,0.0013,0.0429,0.2409,0.0003,0.6604
29181,0.1666,0.2322,0.101,0.71,High Vulnerability,0.92,Very High Concern,0.0145,0.0062,0.004,0.0069,0.0022,0.9505
29043,0.1425,0.1946,0.0855,0.15,Very Low Vulnerability,0.45,Moderate Concern,0.0295,0.003,0.0057,0.0069,0.0,0.9334
29107,0.1441,0.2003,0.0858,0.39,Low Vulnerability,0.59,Moderate Concern,0.0289,0.0024,0.0053,0.022,0.0023,0.9197
29227,0.1482,0.2059,0.09,0.22,Low Vulnerability,0.48,Moderate Concern,0.0153,0.0005,0.0015,0.0054,0.0,0.964
30005,0.267,0.3233,0.1824,0.92,Very High Vulnerability,0.66,High Concern,0.0354,0.5004,0.001,0.004,0.0,0.4456
29213,0.143,0.1978,0.0863,0.82,Very High Vulnerability,0.63,High Concern,0.0592,0.0099,0.0099,0.0138,0.0002,0.8879
29161,0.138,0.1932,0.0831,0.66,High Vulnerability,0.69,High Concern,0.0255,0.0069,0.0361,0.0222,0.0,0.8873
30015,0.267,0.3233,0.1824,0.48,Moderate Vulnerability,0.54,Moderate Concern,0.0263,0.1827,0.0056,0.0024,0.0003,0.7692
30059,0.267,0.3233,0.1824,0.05,Very Low Vulnerability,0.27,Low Concern,0.0466,0.0138,0.0016,0.0005,0.0,0.9264
30069,0.267,0.3233,0.1824,0.0,Very Low Vulnerability,0.38,Low Concern,0.0,0.0,0.0552,0.0,0.0,0.9448
29035,0.1666,0.2322,0.101,0.75,High Vulnerability,0.89,Very High Concern,0.0257,0.0011,0.0,0.0007,0.0,0.9619
29187,0.1638,0.2274,0.0985,0.7,High Vulnerability,0.61,High Concern,0.0157,0.0033,0.0052,0.0439,0.0002,0.9177
29099,0.1435,0.1955,0.0849,0.19,Very Low Vulnerability,0.48,Moderate Concern,0.0196,0.0025,0.0081,0.0094,0.0001,0.9441
30023,0.2268,0.2694,0.1537,0.47,Moderate Vulnerability,0.36,Low Concern,0.0346,0.0186,0.0076,0.0075,0.0,0.9012
30045,0.267,0.3233,0.1824,0.02,Very Low Vulnerability,0.34,Low Concern,0.0358,0.0154,0.0,0.0,0.0,0.9268
30089,0.2397,0.2895,0.1622,0.35,Low Vulnerability,0.49,Moderate Concern,0.0301,0.0336,0.0042,0.0031,0.0001,0.9011
29125,0.138,0.1932,0.0831,0.51,Moderate Vulnerability,0.93,Very High Concern,0.0128,0.0102,0.0103,0.003,0.0,0.9546
29155,0.1675,0.2408,0.1018,0.93,Very High Vulnerability,0.89,Very High Concern,0.0261,0.0,0.0,0.2717,0.0001,0.6852
29065,0.138,0.1932,0.0831,0.63,High Vulnerability,0.86,Very High Concern,0.0176,0.0064,0.0025,0.0041,0.0,0.9431
29221,0.1638,0.2274,0.0985,0.79,High Vulnerability,0.86,Very High Concern,0.0139,0.0011,0.0021,0.0213,0.0029,0.9424
29129,0.1482,0.2059,0.09,0.3,Low Vulnerability,0.76,High Concern,0.0231,0.0,0.0047,0.0055,0.0,0.9575
29163,0.1539,0.2112,0.0923,0.54,Moderate Vulnerability,0.88,Very High Concern,0.0225,0.003,0.0035,0.0725,0.0008,0.8806
29061,0.1482,0.2059,0.09,0.47,Moderate Vulnerability,0.84,Very High Concern,0.0157,0.0055,0.0018,0.006,0.0011,0.9593
30053,0.2461,0.291,0.1669,0.42,Moderate Vulnerability,0.35,Low Concern,0.0313,0.0124,0.004,0.002,0.0024,0.9262
29091,0.1646,0.2288,0.1006,0.67,High Vulnerability,0.67,High Concern,0.0213,0.0117,0.0065,0.0022,0.0,0.9428
29051,0.142,0.1935,0.0846,0.26,Low Vulnerability,0.45,Moderate Concern,0.0284,0.0035,0.0153,0.1166,0.0001,0.816
29173,0.1464,0.2059,0.0878,0.1,Very Low Vulnerability,0.6,High Concern,0.0125,0.0056,0.0058,0.0125,0.0,0.9546
30085,0.2639,0.3131,0.1799,0.89,Very High Vulnerability,0.76,High Concern,0.0396,0.5611,0.006,0.0021,0.0,0.3435
29115,0.1482,0.2059,0.09,0.27,Low Vulnerability,0.65,High Concern,0.0242,0.0026,0.0035,0.0047,0.0007,0.9482
29229,0.1646,0.2288,0.1006,0.9,Very High Vulnerability,0.86,Very High Concern,0.0189,0.0034,0.0025,0.0053,0.0015,0.95
29205,0.1464,0.2059,0.0878,0.4,Low Vulnerability,0.7,High Concern,0.0171,0.0022,0.0027,0.0161,0.0,0.9521
